Player name,Guild,Discord name,,,,,,,,,,,,,,,,,,public?,Discord,Score Rank,Avg Score,NM Clears,VH Clears,W4 Clears,W3 Clears,H Clears,Misses,Best Phase,Best Score,Worst Phase,Worst Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,M. SZ/H,R. Hollow,M. Hollow,R. No Aff.,R. Captain,M. Q/SR,R. Soul Reaper,R. Q/SR,M. Espada,R. SZ/H,M. Soul Reaper,M. Captain,R. Espada,R. Arrancar,M. Arrancar,M. No Aff.,,,,(need to sort avg score first),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShangSung,45,shang_sung,"109,371,647","140,424,470","165,685,700","163,837,700","139,097,824","164,416,000","163,007,900","87,494,227","158,442,855","161,000,000","164,815,900","154,375,871","138,713,360","163,919,500","233,000,000","300,214,900",,y,@shang_sung,19,"162,988,616",1,9,14,16,16,0,M. No Aff.,"300,214,900",R. Q/SR,"87,494,227",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spanky,44,nawt0k,"138,391,598","167,500,000","163,230,000","163,404,100","146,976,366","162,180,800","162,724,700","84,100,000","111,691,196","100,535,331","162,324,499","77,354,842","146,177,109","162,069,200","255,843,159","300,173,300",,y,@nawt0k,20,"156,542,263",1,9,12,14,16,0,M. No Aff.,"300,173,300",M. Captain,"77,354,842",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swanson,45,swanson6830,"103,559,089","135,954,451","163,306,600","162,934,600","94,362,334","162,220,600","162,090,400","135,011,814","161,810,100","162,936,300","162,347,300","161,459,700","105,149,372","162,357,400","190,895,772","258,820,060",,y,@swanson6830,21,"155,325,993",0,11,13,16,16,0,M. No Aff.,"258,820,060",R. Captain,"94,362,334",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(white ichigo),45,,"124,843,123","167,500,000","163,548,700","163,272,000","110,501,846","162,708,700","164,656,900","141,066,737","162,930,400","137,833,026","164,475,300","163,275,300","151,667,586","165,123,599","163,320,400","163,945,300",,,@,22,"154,416,807",0,11,15,16,16,0,R. Hollow,"167,500,000",R. Captain,"110,501,846",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyphilios,44,hyphilios,"300,291,700","167,500,000","161,726,700","161,860,200","119,400,000","161,610,000","143,333,762","93,401,816","140,132,972","161,815,200","163,955,600","129,658,972","119,400,000","110,722,116","147,384,610","141,286,908",,y,@hyphilios,23,"151,467,535",1,7,12,16,16,0,M. SZ/H,"300,291,700",R. Q/SR,"93,401,816",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>__<,44,milkshark,"110,137,572","161,456,000","164,012,000","163,888,100","162,783,600","162,704,000","162,689,300","101,077,004","87,916,035","162,151,800","163,932,200","163,513,600","161,565,500","163,944,400","162,138,500","162,495,400",,y,@milkshark,24,"151,025,313",0,13,13,16,16,0,M. Hollow,"164,012,000",M. Espada,"87,916,035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUM CEO,45,luv_wokky,"138,220,893","175,901,501","165,299,799","161,000,000",0,"163,813,800","162,968,900","108,963,791","162,402,300","31,324,771","164,457,000","162,728,900","134,559,751","164,732,000","256,044,970","233,000,000",,y,@luv_wokky,25,"149,088,649",0,11,13,14,14,1,M. Arrancar,"256,044,970",R. SZ/H,"31,324,771",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,45,,"161,800,900","162,133,000","164,804,000","161,962,500","109,638,860","164,266,000","161,000,000","146,196,948","162,319,600","119,400,000","161,705,800","162,889,600","84,100,000","163,827,800","75,699,074","153,809,375",,,@,26,"144,722,091",0,10,12,14,16,0,M. Hollow,"164,804,000",M. Arrancar,"75,699,074",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Majin Kev,44,.majinkev,"119,400,000","146,026,255","162,723,700","162,163,400","100,955,748","150,643,566","152,960,913","68,222,722","162,056,300","107,655,432","161,692,200","53,600,000","104,321,372","161,951,700","70,720,631","209,574,886",,y,@.majinkev,27,"130,916,802",0,6,9,13,15,0,M. No Aff.,"209,574,886",M. Captain,"53,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JADS@bbs..,45,,"161,400,000","161,574,100","164,209,400","162,679,300","113,320,888","163,837,100","161,784,100","119,400,000","161,554,100","66,407,676","164,382,800","163,891,000","162,077,500","163,007,600",0,0,,,@,28,"130,595,348",0,11,11,13,14,2,M. Soul Reaper,"164,382,800",R. SZ/H,"66,407,676",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latif,44,tazaki01,"102,881,526","107,029,747","154,715,283","144,258,855","104,082,307","142,544,797","145,949,010","58,812,200","84,100,000","84,100,000","163,821,600","130,298,147","113,466,414","161,000,000","217,211,475","162,002,800",,y,@tazaki01,29,"129,767,135",0,4,9,13,16,0,M. Arrancar,"217,211,475",R. Q/SR,"58,812,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memmzy..,44,memmzy,"43,625,411","151,915,700","94,347,398","143,219,372","151,943,075","119,400,000","76,137,623",0,"144,056,220","58,899,800","163,375,400","162,628,900","75,808,042","163,499,600","161,758,300","98,574,434",,,@memmzy,30,"113,074,330",0,4,8,11,14,1,R. Arrancar,"163,499,600",M. SZ/H,"43,625,411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xenoAM,44,xenoam,"58,841,750","142,702,235","163,392,700","162,821,200","119,400,000","108,657,196","119,400,000","84,100,000","119,400,000","99,198,321","92,549,508","59,602,000","110,475,033","163,518,400",0,"167,500,000",,y,@xenoam,31,"110,722,396",0,4,5,12,15,1,M. No Aff.,"167,500,000",M. SZ/H,"58,841,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rokushiki,44,rokushiki_3799,"49,951,917","111,666,962","161,741,500","135,956,086","85,366,093","100,349,525","163,342,599","58,858,499","60,131,050","59,081,650","151,603,388","58,939,700","130,793,312","162,813,800","96,628,815","163,674,800",,,@rokushiki_3799,32,"109,431,231",0,4,7,11,15,0,M. No Aff.,"163,674,800",M. SZ/H,"49,951,917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiz,44,graycat_,"33,477,069","64,691,472","87,083,441","77,680,312","62,803,179","106,927,922","134,314,913","145,413,512","34,710,293","103,151,312","163,446,399","161,630,600","96,271,879","154,313,484","109,825,342","167,500,000",,,@graycat_,33,"106,452,571",0,3,6,11,14,0,M. No Aff.,"167,500,000",M. SZ/H,"33,477,069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ichigo :),44,ichigo___,0,"130,557,470","163,914,200","139,635,606","139,886,039","154,582,315","77,235,124","68,450,250","40,557,827",0,"124,650,000","104,772,542","104,004,656","100,428,496","214,838,650",0,,,@ichigo___,34,"97,719,573",0,2,7,10,12,3,M. Arrancar,"214,838,650",M. Espada,"40,557,827",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,44,cx3rt,"53,600,000","100,536,324","84,100,000","137,246,541","73,604,981","104,317,550","73,247,339","67,761,939","67,618,331","107,144,672","102,106,946","86,474,703","76,007,004","161,877,100","70,783,799","113,042,674",,y,@cx3rt,35,"92,466,869",0,1,2,8,15,0,R. Arrancar,"161,877,100",M. SZ/H,"53,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ldr7,44,ldr.7,"58,855,699","105,793,651","161,764,600","149,307,667","97,891,100","162,824,700","59,615,000","59,772,450","119,400,000",0,"163,023,000",0,"106,638,886",0,"96,218,008",0,,y,@ldr.7,36,"83,819,048",0,3,4,9,12,4,M. Soul Reaper,"163,023,000",M. SZ/H,"58,855,699",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cole,44,cole7065,"25,330,000","94,605,909","135,959,531","137,868,095","84,100,000","53,709,563","73,479,571",0,"77,527,259","106,624,278","84,100,000","97,451,843","84,100,000","121,650,000",0,"75,612,059",,y,@cole7065,37,"78,257,382",0,0,3,6,12,2,R. No Aff.,"137,868,095",M. SZ/H,"25,330,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davidx,44,cerealkiller0233,0,"138,090,345","119,400,000","110,862,510","58,320,176","141,035,377","103,616,322","40,948,055","77,912,176","70,651,012","85,600,000","67,855,162",0,"105,520,077","111,107,848",0,,y,@cerealkiller0233,38,"76,932,441",0,0,2,8,11,3,M. Q/SR,"141,035,377",R. Q/SR,"40,948,055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zekerdan,44,zekerdan,"58,976,500","84,100,000","99,460,379","106,967,542","56,100,000","53,600,000","75,578,644","52,682,527","32,004,921","59,347,350","59,518,250","49,913,864","54,582,999","93,656,165","38,928,850","104,606,137",,y,@zekerdan,39,"67,501,508",0,0,0,4,9,0,R. No Aff.,"106,967,542",M. Espada,"32,004,921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phase,M. SZ/H,R. Hollow,M. Hollow,R. No Aff.,R. Captain,M. Q/SR,R. Soul Reaper,R. Q/SR,M. Espada,R. SZ/H,M. Soul Reaper,M. Captain,R. Espada,R. Arrancar,M. Arrancar,M. No Aff.,,Phase,M. SZ/H,R. Hollow,M. Hollow,R. No Aff.,R. Captain,M. Q/SR,R. Soul Reaper,R. Q/SR,M. Espada,R. SZ/H,M. Soul Reaper,M. Captain,R. Espada,R. Arrancar,M. Arrancar,M. No Aff.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#1 Score holder,@Iceman#5929,@Stunna,@kocejam,@kocejam,@kocejam,@kocejam,@kocejam,@nour.db,@kocejam,@kocejam,@kocejam,@pat7res,@Stunna,@kimetsyaiba,@kocejam,@kocejam,,Average Score,"156,915,678","164,809,587","154,714,955","154,469,256","132,672,271","149,095,241","144,499,995","112,487,432","132,348,833","124,508,047","152,623,761","139,080,459","135,703,860","155,846,809","203,092,478","225,606,162"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#1 Score,"301,344,300","300,159,700","166,163,300","165,696,700","164,608,000","166,234,800","164,815,300","162,798,900","165,077,700","164,494,700","166,464,100","165,461,099","164,539,900","165,303,799","302,682,800","303,192,500",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2 Score holder,@Stunna,@kocejam,@kimetsyaiba,@nour.db,@pat7res,@.selyan,(white ichigo),@kocejam,@unseer,usurper,@.selyan,@kocejam,@kocejam,(white ichigo),@kimetsyaiba,@pat7res,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2 Score,"301,071,300","281,736,360","166,111,700","165,479,500","164,172,200","165,739,900","164,656,900","162,788,000","163,789,300","164,483,100","165,994,900","165,349,799","163,811,000","165,123,599","302,009,100","301,945,300",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 Score holder,@kocejam,@ns_yozora,@pat7res,@pat7res,@aizenbanka1,@kimetsyaiba,@shidekix,@shidekix,@shidekix,@kocejam2,@pat7res,@aizenbanka1,@aizenbanka1,@pat7res,@bazraeth,@kimetsyaiba,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 Score,"300,930,599","262,196,619","165,777,200","165,260,000","163,591,700","164,789,900","164,532,500","162,249,499","163,632,100","164,131,500","165,973,400","164,775,300","163,808,700","165,036,500","301,229,600","301,630,699",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#4 Score holder,@ns_yozora,@thejaylnayers,@shang_sung,@kocejam2,@unseer,@shang_sung,@pat7res,@Stunna,@ns_yozora,@pat7res,@thejaylnayers,@.selyan,@jtcal,@kocejam,@jtcal,@unseer,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#4 Score,"300,545,200","246,047,313","165,685,700","165,207,600","163,228,400","164,416,000","164,221,800","162,197,100","163,072,900","164,054,200","165,517,600","164,434,800","163,126,300","164,978,199","300,775,200","301,271,000",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#5 Score holder,@pat7res,@bazraeth,@shidekix,@jtcal,@shidekix,@nour.db,@.selyan,@thejaylnayers,(white ichigo),@aizenbanka1,@kimetsyaiba,@thejaylnayers,@nour.db,@shidekix,@pat7res,@bazraeth,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#5 Score,"300,310,600","231,063,927","165,661,500","165,072,000","163,223,699","164,346,100","164,111,400","161,806,400","162,930,400","163,668,700","165,504,600","164,146,800","163,009,100","164,801,700","300,332,800","301,226,100",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Posting stats,,Announcements post,info for ranked individual stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chart of avg score + best score + who got best / phase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GQ screen posts,"graph with each member's scores, only post if public",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
