Player name,Guild,Discord name,,,,,,,,,,,,,,,,,,public?,Discord,Score Rank,Avg Score,NM Clears,VH Clears,W4 Clears,W3 Clears,H Clears,Misses,Best Phase,Best Score,Worst Phase,Worst Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,R. Espada,M. Soul Reaper,M. No Aff.,M. Arrancar,M. SZ / H,R. Hollow,R. SZ / H,R. Arrancar,R. No Aff,M. Espada,R. Captain,M. Captain,R. Q/SR,R. Soul Reaper,M. Hollow,M. Q/SR,,,,(need to sort avg score first),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forgotten,45,bazraeth,"161,833,600","164,087,600","165,423,299","165,063,700","163,054,700","163,223,100","162,017,700","224,179,929","164,628,900","161,834,300","162,650,300","162,751,900","177,737,359","300,510,400","165,755,100","162,713,500",,y,@bazraeth,17,"176,716,587",1,16,16,16,16,0,R. Soul Reaper,"300,510,400",R. Espada,"161,833,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MilkShark,44,milkshark,"162,150,200","164,297,000","163,595,000","163,373,500","161,752,800","162,826,000","162,835,900","299,271,400","164,548,400","145,159,030","162,163,300","162,934,500","136,100,115","251,188,067","164,469,600","162,598,100",,y,@milkshark,18,"174,328,932",0,14,16,16,16,0,R. Arrancar,"299,271,400",R. Q/SR,"136,100,115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spanky,45,nawt0k,"161,961,900","163,567,600","165,407,200","164,642,199","149,450,847","163,658,300","144,725,086","233,000,000","165,482,500","162,072,000","162,605,300","141,229,595","148,813,622","300,412,600","165,689,300","165,274,400",,y,@nawt0k,19,"172,374,528",1,12,16,16,16,0,R. Soul Reaper,"300,412,600",M. Captain,"141,229,595",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yozora,45,ns_yozora,"161,540,400","164,172,400","164,658,200","164,973,400","164,114,000","164,125,400","161,883,500","300,911,300","164,984,000","163,859,400","164,117,000","165,078,600","139,914,827","153,992,660","164,789,100","164,052,500",,,@ns_yozora,20,"170,447,918",1,14,16,16,16,0,R. Arrancar,"300,911,300",R. Q/SR,"139,914,827",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUM CEO,44,luv_wokky,"131,001,450","165,623,700","163,830,600","164,587,200","119,400,000","163,077,300",0,"301,062,200",0,"162,737,300","162,470,500","164,598,700",0,0,"164,470,400","164,062,100",,y,@luv_wokky,21,"168,910,121",1,10,11,12,12,4,R. Arrancar,"301,062,200",M. SZ / H,"119,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fate,45,fate2378,"161,593,000","164,309,800","165,188,200","162,994,900","161,406,300","162,843,100","247,497,856","167,500,000","164,868,500","161,881,300","161,466,300","162,196,300","119,400,000","203,535,060","164,743,099","162,749,600",,y,@fate2378,22,"168,385,832",0,15,15,16,16,0,R. SZ / H,"247,497,856",R. Q/SR,"119,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swanson,45,swanson6830,"131,577,035","163,648,600","162,469,100","163,333,299","64,003,932","162,047,100","233,000,000","200,003,573","163,952,300","161,651,600","162,504,200","161,938,600","141,779,053","189,423,922","164,529,500","162,639,300",,y,@swanson6830,23,"161,781,320",0,13,15,15,16,0,R. SZ / H,"233,000,000",M. SZ / H,"64,003,932",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(white ichigo),45,,"134,703,254","164,700,200","163,781,900","162,735,300","119,400,000","162,992,000","113,887,366","164,588,700","163,368,600","161,837,100","119,400,000","163,080,399","128,588,922","300,822,100","165,556,900","162,985,400",,,,24,"159,526,759",1,11,13,16,16,0,R. Soul Reaper,"300,822,100",R. SZ / H,"113,887,366",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JtBlixk,45,jtcal,"161,990,900","165,220,100","164,573,800","165,213,300","162,750,000","163,114,800","105,865,618","300,382,000","165,173,400","161,650,400","141,942,989","162,742,300","161,571,100",0,"165,635,500","163,932,100",,,@jtcal,25,"156,984,894",1,13,14,15,15,1,R. Arrancar,"300,382,000",R. SZ / H,"105,865,618",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyphilios,44,hyphilios,"139,622,455","163,381,700","161,836,900","161,411,400","162,274,000","162,596,000","196,447,437","142,323,197","164,114,100","128,281,838","147,583,540","145,653,852","135,884,146","161,543,200","163,361,700","162,055,400",,y,@hyphilios,26,"156,148,179",0,10,16,16,16,0,R. SZ / H,"196,447,437",M. Espada,"128,281,838",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D._.Ahmed,44,dauda0402,,,,,,,,,,,"161,696,400","162,156,500","110,243,626","161,786,400","163,294,100","162,298,500",,y,@dauda0402,27,"153,579,254",0,5,5,6,6,0,M. Hollow,"163,294,100",R. Q/SR,"110,243,626",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phantom,44,phantom_requiem,,,,,"102,623,482","152,472,806","283,649,025","204,996,316","165,733,400","65,278,234","119,834,395","162,508,400","122,899,827","161,711,400","164,387,100","128,817,271",,,@phantom_requiem,28,"152,909,305",0,6,10,11,12,0,R. SZ / H,"283,649,025",M. Espada,"65,278,234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShangSung,45,shang_sung,"161,841,700","165,564,100","165,442,400","165,224,000","162,356,600","156,341,460","271,078,580","270,567,731","165,792,300","162,834,700","129,200,483",0,,0,,,,y,@shang_sung,29,"152,018,773",0,9,11,11,11,2,R. SZ / H,"271,078,580",R. Captain,"129,200,483",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xenoAM,44,xenoam,"136,557,154","84,365,856","163,120,400","162,524,000","138,177,059","150,827,551","101,990,337","267,108,881","163,119,700","104,943,739","121,237,207","64,826,862","143,418,824","213,773,249","165,492,900","148,638,740",,y,@xenoam,30,"145,632,654",0,6,12,15,16,0,R. Arrancar,"267,108,881",M. Captain,"64,826,862",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rokushiki,44,rokushiki_3799,"123,297,412","162,047,700","164,217,800","114,341,347","119,400,000","119,400,000","135,976,086","163,467,400","161,611,500","132,950,170","107,672,421","60,604,500","67,580,954","220,776,532","164,091,600","162,523,400",,,@rokushiki_3799,31,"136,247,426",0,7,10,14,16,0,R. Soul Reaper,"220,776,532",M. Captain,"60,604,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ichigo :),44,ichigo___,"144,319,693","153,138,132","164,160,000","164,271,200","162,127,500","162,122,500","41,615,236","140,389,663","144,053,717","35,084,431","153,856,536","162,246,700","84,100,000","103,174,761","163,848,600","161,548,400",,,@ichigo___,32,"133,753,567",0,7,12,13,14,0,M. Arrancar,"164,271,200",M. Espada,"35,084,431",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,44,,"84,510,000","162,379,500","164,833,700","137,938,003","73,734,625","162,318,099","84,100,000","164,974,400","162,253,400","162,092,300","119,400,000","163,932,400",0,"163,140,500","165,297,600","164,893,099",,,,33,"133,487,352",0,10,11,13,15,1,M. Hollow,"165,297,600",M. SZ / H,"73,734,625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memmzy..,44,memmzy,"163,175,100","155,025,805","73,514,637","161,747,400","87,373,992","161,555,800","8,839,346","162,060,100","162,898,800","119,400,000","162,556,400","111,985,522","61,080,627","97,582,924","111,067,028","138,529,834",,,@memmzy,34,"121,149,582",0,6,8,13,15,0,R. Espada,"163,175,100",R. SZ / H,"8,839,346",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiz,44,graycat_,"112,568,706","164,295,200","162,638,000","131,779,845","44,056,857","95,376,365","120,480,801","203,951,750","162,979,100","60,010,950","98,929,979","162,196,300","141,935,372",0,"161,931,900","112,302,887",,,@graycat_,35,"120,964,626",0,6,9,13,14,1,R. Arrancar,"203,951,750",M. SZ / H,"44,056,857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latif,44,tazaki01,"117,900,000","162,812,500","162,994,600","163,515,800","109,615,273","110,363,917","91,102,889","6,000,000","162,235,600",0,"106,515,838","105,685,353","44,231,430","161,788,300","164,113,100","147,456,140",,y,@tazaki01,36,"113,520,671",0,6,7,13,13,1,M. Hollow,"164,113,100",R. Arrancar,"6,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,44,cx3rt,"92,327,486","144,922,103","141,372,684","67,776,587","48,470,571","113,232,224","136,469,065","145,878,143","140,784,111","67,889,275","65,786,142","109,895,459","36,459,079","100,929,116","143,421,928","476,935",,y,@cx3rt,37,"97,255,682",0,0,6,10,13,0,R. Arrancar,"145,878,143",M. Q/SR,"476,935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GarboManV1,44,blackbirdo,,,,,,"161,451,400","64,482,620","74,772,400","144,661,286","59,501,300","59,609,650","66,538,508","67,916,625","59,641,300","161,663,700","132,688,328",,,@blackbirdo,38,"95,720,647",0,2,4,4,11,0,M. Hollow,"161,663,700",M. Espada,"59,501,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cole,44,cole7065,"98,297,164",0,"73,625,306","142,016,284","32,755,253","74,655,864","111,955,718","161,446,300","144,401,726",0,"91,103,030","71,709,814","46,709,916","84,100,000","146,421,928","76,178,460",,y,@cole7065,39,"84,711,048",0,1,4,7,12,2,R. Arrancar,"161,446,300",M. SZ / H,"32,755,253",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zekerdan,44,zekerdan,"38,287,447","121,650,002","107,663,472","63,581,131","46,432,016","84,100,000","52,679,937","100,951,796","95,911,481","47,753,029","43,631,724","59,646,550","59,517,500","94,605,908","78,954,037","72,701,241",,y,@zekerdan,40,"73,004,204",0,0,1,5,11,0,M. Soul Reaper,"121,650,002",R. Espada,"38,287,447",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phase,R. Espada,M. Soul Reaper,M. No Aff.,M. Arrancar,M. SZ / H,R. Hollow,R. SZ / H,R. Arrancar,R. No Aff,M. Espada,R. Captain,M. Captain,R. Q/SR,R. Soul Reaper,M. Hollow,M. Q/SR,,Phase,R. Espada,M. Soul Reaper,M. No Aff.,M. Arrancar,M. SZ / H,R. Hollow,R. SZ / H,R. Arrancar,R. No Aff,M. Espada,R. Captain,M. Captain,R. Q/SR,R. Soul Reaper,M. Hollow,M. Q/SR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#1 Score holder,@Stunna,@kocejam,@kocejam,@kimetsyaiba,@shidekix,@Stunna,usurper,@shidekix,@kocejam,@kocejam,@kocejam,@kocejam,@kocejam2,@kocejam,@kocejam,@kocejam,,Average Score,"153,086,681","161,114,010","161,322,408","161,524,240","147,149,246","160,919,578","189,605,350","252,286,678","163,704,317","147,490,083","153,553,287","154,051,264","168,995,956","235,173,627","163,421,113","161,486,368"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#1 Score,"164,959,899","166,562,400","166,002,600","166,195,200","165,115,800","165,531,500","300,678,100","301,955,200","166,059,600","165,246,000","164,880,899","166,292,700","300,005,600","301,238,800","166,289,200","166,188,100",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2 Score holder,@kocejam,@kocejam2,@nour.db,@kocejam,@Stunna,@kocejam,@nour.db,@pat7res,@kocejam2,@shidekix,@pat7res,@pat7res,@kocejam,@aizenbanka1,@kimetsyaiba,@kocejam2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2 Score,"164,035,800","166,154,100","165,953,100","166,014,300","164,481,400","165,450,900","300,481,200","301,688,300","166,027,500","164,608,900","164,645,100","166,058,600","289,391,333","300,858,500","166,221,000","165,873,400",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 Score holder,@unseer,@pat7res,@pat7res,@unseer,@9chrispy6,@shidekix,@pat7res,@kimetsyaiba,@shang_sung,@ns_yozora,@shidekix,@.selyan,@shidekix,(white ichigo),@shidekix,@kimetsyaiba,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 Score,"163,640,400","166,110,400","165,696,400","165,501,700","164,232,000","164,526,500","300,409,400","301,435,000","165,792,300","163,859,400","164,443,100","165,811,500","276,189,530","300,822,100","165,902,100","165,678,000",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#4 Score holder,@shidekix,@.selyan,@kimetsyaiba,@kocejam2,@aizenbanka1,@nour.db,@kocejam,@nour.db,@phantom_requiem,@kimetsyaiba,@Stunna,@aizenbanka1,@thejaylnayers,@shidekix,@captain_zoro_,@.selyan,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#4 Score,"163,592,000","165,959,900","165,660,300","165,439,300","164,225,700","164,411,900","300,383,900","301,178,800","165,733,400","163,357,800","164,278,100","165,343,200","250,840,948","300,758,200","165,771,500","165,571,500",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#5 Score holder,@kocejam2,@kimetsyaiba,@shidekix,@shang_sung,@kocejam,@kocejam2,@kocejam2,@kocejam,@nour.db,@unseer,@kimetsyaiba,@9chrispy6,@kimetsyaiba,@bazraeth,@bazraeth,@nawt0k,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#5 Score,"163,403,400","165,895,200","165,451,800","165,224,000","164,202,100","164,274,800","300,367,300","301,170,900","165,686,200","163,212,200","164,229,200","165,199,900","233,000,000","300,510,400","165,755,100","165,274,400",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Posting stats,,Announcements post,info for ranked individual stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chart of avg score + best score + who got best / phase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GQ screen posts,"graph with each member's scores, only post if public",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
